date,end_price,price_change,start_price,high,low,quantity
2019.12.04,32500.0,1100.0,33350.0,33500.0,32200.0,114451.0
2019.12.03,33600.0,450.0,32650.0,34100.0,32650.0,84116.0
2019.12.02,33150.0,900.0,34200.0,34200.0,33100.0,115233.0
2019.11.29,34050.0,450.0,33500.0,34300.0,33400.0,113149.0
2019.11.28,33600.0,300.0,33700.0,34350.0,33400.0,87860.0
2019.11.27,33900.0,100.0,33800.0,34650.0,33650.0,130512.0
2019.11.26,34000.0,0.0,34100.0,34650.0,33550.0,143530.0
2019.11.25,34000.0,500.0,33500.0,34150.0,33500.0,135162.0
2019.11.22,33500.0,1150.0,34500.0,35250.0,33050.0,334445.0
2019.11.21,34650.0,400.0,35050.0,35800.0,34450.0,310993.0
2019.11.20,35050.0,950.0,36150.0,36650.0,34950.0,246652.0
2019.11.19,36000.0,750.0,35100.0,36500.0,35050.0,353571.0
2019.11.18,35250.0,250.0,35450.0,35450.0,34950.0,130119.0
2019.11.15,35000.0,300.0,35600.0,35600.0,34800.0,184490.0
2019.11.14,35300.0,600.0,34950.0,35500.0,34600.0,282496.0
2019.11.13,34700.0,250.0,34500.0,34900.0,33650.0,243716.0
2019.11.12,34450.0,1200.0,33250.0,34600.0,32200.0,367952.0
2019.11.11,33250.0,250.0,33550.0,33800.0,32700.0,136761.0
2019.11.08,33500.0,900.0,32850.0,33900.0,32800.0,272943.0
2019.11.07,32600.0,950.0,33550.0,33850.0,31950.0,410770.0
2019.11.06,33550.0,800.0,34000.0,34600.0,33200.0,281706.0
2019.11.05,34350.0,300.0,33850.0,34600.0,31600.0,958000.0
2019.11.04,34650.0,650.0,34450.0,35150.0,34050.0,327921.0
2019.11.01,34000.0,400.0,34700.0,34700.0,33550.0,242124.0
2019.10.31,34400.0,0.0,34850.0,34850.0,34300.0,215241.0
2019.10.30,34400.0,0.0,34700.0,34950.0,33800.0,328047.0
2019.10.29,34400.0,450.0,34650.0,36000.0,33950.0,866412.0
2019.10.28,33950.0,550.0,34700.0,34900.0,33000.0,516611.0
2019.10.25,34500.0,1400.0,33350.0,34850.0,33150.0,566869.0
2019.10.24,33100.0,200.0,33250.0,33800.0,32600.0,314081.0
2019.10.23,33300.0,750.0,33800.0,33900.0,33150.0,328993.0
2019.10.22,34050.0,1050.0,33300.0,34250.0,32750.0,589113.0
2019.10.21,33000.0,200.0,33400.0,33500.0,32600.0,294315.0
2019.10.18,33200.0,800.0,32700.0,33500.0,32550.0,567058.0
2019.10.17,32400.0,350.0,32250.0,33900.0,32250.0,1057478.0
2019.10.16,32050.0,1150.0,31150.0,32450.0,30950.0,737755.0
2019.10.15,30900.0,1150.0,29600.0,31100.0,29600.0,474639.0
2019.10.14,29750.0,100.0,29900.0,30050.0,29300.0,139300.0
2019.10.11,29650.0,50.0,29900.0,30100.0,29600.0,222821.0
2019.10.10,29600.0,1150.0,28250.0,29750.0,27900.0,301517.0
2019.10.08,28450.0,700.0,27700.0,28750.0,27450.0,207822.0
2019.10.07,27750.0,100.0,27800.0,28100.0,27600.0,114082.0
2019.10.04,27850.0,200.0,27450.0,28150.0,27450.0,114613.0
2019.10.02,27650.0,600.0,28200.0,28250.0,27550.0,121038.0
2019.10.01,28250.0,100.0,28350.0,28500.0,28000.0,125903.0
2019.09.30,28150.0,250.0,28200.0,28400.0,27250.0,254251.0
2019.09.27,28400.0,600.0,28750.0,29000.0,28350.0,176443.0
2019.09.26,29000.0,100.0,29200.0,29650.0,28850.0,185981.0
2019.09.25,29100.0,900.0,30150.0,30200.0,29000.0,322813.0
2019.09.24,30000.0,550.0,30600.0,30700.0,29950.0,191783.0
2019.09.23,30550.0,550.0,31200.0,31200.0,30450.0,142252.0
2019.09.20,31100.0,650.0,30700.0,31150.0,30350.0,284161.0
2019.09.19,30450.0,450.0,30050.0,30700.0,30050.0,195271.0
2019.09.18,30000.0,600.0,30600.0,30600.0,30000.0,149800.0
2019.09.17,30600.0,350.0,30250.0,30600.0,29600.0,263119.0
2019.09.16,30250.0,300.0,30650.0,30650.0,29950.0,109611.0
2019.09.11,30550.0,800.0,30000.0,30750.0,29450.0,196479.0
2019.09.10,29750.0,400.0,30050.0,30250.0,29650.0,220106.0
2019.09.09,30150.0,950.0,31150.0,31700.0,30000.0,265082.0
2019.09.06,31100.0,350.0,31650.0,32400.0,31000.0,507118.0
2019.09.05,30750.0,50.0,30900.0,31200.0,30300.0,211490.0
2019.09.04,30700.0,450.0,30400.0,31250.0,30050.0,158615.0
2019.09.03,30250.0,150.0,30100.0,30750.0,30100.0,157110.0
2019.09.02,30400.0,300.0,30700.0,30850.0,30200.0,135116.0
2019.08.30,30700.0,50.0,31150.0,31250.0,30600.0,154679.0
2019.08.29,30650.0,1250.0,32300.0,32300.0,30500.0,337933.0
2019.08.28,31900.0,750.0,31400.0,31900.0,31100.0,202780.0
2019.08.27,31150.0,250.0,31250.0,31900.0,31100.0,212790.0
2019.08.26,30900.0,750.0,30900.0,31550.0,30750.0,234281.0
2019.08.23,31650.0,650.0,30900.0,31650.0,30900.0,218496.0
2019.08.22,31000.0,650.0,31650.0,31750.0,31000.0,156684.0
2019.08.21,31650.0,650.0,31100.0,31750.0,30700.0,271251.0
2019.08.20,31000.0,1500.0,29650.0,32150.0,29650.0,591448.0
2019.08.19,29500.0,1000.0,30500.0,30850.0,29350.0,264815.0
2019.08.16,30500.0,250.0,31000.0,31900.0,30450.0,297901.0
2019.08.14,30750.0,250.0,31000.0,31150.0,30400.0,231330.0
2019.08.13,30500.0,500.0,30750.0,31600.0,30500.0,406890.0
2019.08.12,31000.0,1250.0,32000.0,32450.0,30650.0,437107.0
2019.08.09,32250.0,50.0,32550.0,32650.0,31550.0,330431.0
2019.08.08,32200.0,700.0,31300.0,32500.0,30650.0,712149.0
2019.08.07,31500.0,150.0,31900.0,32500.0,30650.0,512082.0
2019.08.06,31350.0,1000.0,31950.0,32950.0,30750.0,760890.0
2019.08.05,32350.0,850.0,31900.0,33900.0,31800.0,1546659.0
2019.08.02,31500.0,2500.0,28500.0,31900.0,28500.0,1078173.0
2019.08.01,29000.0,50.0,28500.0,29900.0,28150.0,325350.0
2019.07.31,28950.0,1550.0,27400.0,29150.0,26750.0,599260.0
2019.07.30,27400.0,750.0,26900.0,28300.0,26650.0,412047.0
2019.07.29,26650.0,2650.0,29650.0,29800.0,26650.0,497902.0
2019.07.26,29300.0,550.0,28500.0,29700.0,28450.0,318275.0
2019.07.25,28750.0,1100.0,29900.0,29900.0,28350.0,417080.0
2019.07.24,29850.0,900.0,30250.0,30900.0,29800.0,382743.0
2019.07.23,30750.0,1050.0,31950.0,32150.0,30600.0,530304.0
2019.07.22,31800.0,800.0,32600.0,32900.0,31700.0,408501.0
2019.07.19,32600.0,950.0,33600.0,33750.0,32300.0,644633.0
2019.07.18,33550.0,1900.0,32500.0,34700.0,32250.0,2240250.0
2019.07.17,31650.0,900.0,32900.0,33000.0,31550.0,483800.0
2019.07.16,32550.0,850.0,33650.0,34200.0,32400.0,990693.0
2019.07.15,33400.0,1350.0,31550.0,33700.0,31150.0,1251644.0
2019.07.12,32050.0,3000.0,33000.0,33750.0,30750.0,3608262.0
2019.07.11,29050.0,150.0,28950.0,29550.0,28850.0,249162.0
2019.07.10,28900.0,600.0,29500.0,30250.0,28800.0,277027.0
2019.07.09,29500.0,1000.0,30000.0,30400.0,28650.0,354688.0
2019.07.08,30500.0,400.0,31550.0,32200.0,30500.0,660718.0
2019.07.05,30900.0,350.0,31450.0,31500.0,30350.0,261165.0
2019.07.04,31250.0,800.0,32300.0,32950.0,30700.0,761036.0
2019.07.03,32050.0,2350.0,30000.0,32250.0,30000.0,1082126.0
2019.07.02,29700.0,450.0,30800.0,31300.0,29500.0,411464.0
2019.07.01,30150.0,1300.0,30500.0,30950.0,29650.0,227349.0
2019.06.28,28850.0,0.0,28800.0,29550.0,28500.0,75710.0
2019.06.27,28850.0,150.0,28600.0,29500.0,28600.0,84108.0
2019.06.26,28700.0,300.0,29000.0,29250.0,28650.0,54905.0
2019.06.25,29000.0,300.0,29100.0,29550.0,29000.0,71029.0
2019.06.24,29300.0,500.0,29900.0,29900.0,29000.0,62177.0
2019.06.21,29800.0,200.0,30250.0,30300.0,29500.0,79676.0
2019.06.20,30000.0,750.0,29450.0,30200.0,29450.0,146238.0
2019.06.19,29250.0,650.0,29250.0,29450.0,28950.0,124764.0
2019.06.18,28600.0,1300.0,29900.0,30250.0,28400.0,327426.0
2019.06.17,29900.0,250.0,30050.0,30250.0,29500.0,153384.0
2019.06.14,30150.0,50.0,30050.0,30350.0,29900.0,124943.0
2019.06.13,30200.0,200.0,30000.0,30450.0,29950.0,170916.0
2019.06.12,30000.0,0.0,30200.0,30550.0,29850.0,113284.0
2019.06.11,30000.0,150.0,29650.0,30200.0,29600.0,130361.0
2019.06.10,29850.0,50.0,30000.0,30050.0,29300.0,149062.0
2019.06.07,29800.0,950.0,28850.0,29850.0,28850.0,248822.0
2019.06.05,28850.0,950.0,28600.0,29500.0,28500.0,328199.0
2019.06.04,27900.0,0.0,27700.0,28200.0,27700.0,102365.0
2019.06.03,27900.0,350.0,27300.0,27950.0,27250.0,89260.0
2019.05.31,27550.0,450.0,28000.0,28000.0,27300.0,146485.0
2019.05.30,28000.0,1600.0,26350.0,28200.0,26350.0,311383.0
2019.05.29,26400.0,350.0,26750.0,26800.0,26400.0,111811.0
2019.05.28,26750.0,500.0,26250.0,26900.0,26150.0,182861.0
2019.05.27,26250.0,0.0,26250.0,26800.0,25900.0,156153.0
2019.05.24,26250.0,200.0,25850.0,26900.0,25850.0,192802.0
2019.05.23,26050.0,550.0,26850.0,26850.0,25550.0,234996.0
2019.05.22,26600.0,200.0,26650.0,27050.0,26550.0,156065.0
2019.05.21,26400.0,550.0,26500.0,27000.0,26400.0,309950.0
2019.05.20,26950.0,1050.0,28300.0,28650.0,26900.0,290756.0
2019.05.17,28000.0,50.0,28450.0,28900.0,27900.0,222844.0
2019.05.16,27950.0,600.0,28700.0,29300.0,27950.0,209192.0
2019.05.15,28550.0,150.0,28550.0,28750.0,27750.0,249927.0
2019.05.14,28400.0,0.0,27700.0,28700.0,27650.0,175251.0
2019.05.13,28400.0,0.0,28400.0,28850.0,28150.0,137694.0
2019.05.10,28400.0,250.0,28700.0,29150.0,28050.0,220148.0
2019.05.09,28650.0,1350.0,29900.0,30250.0,28500.0,356421.0
2019.05.08,30000.0,350.0,29950.0,30300.0,29800.0,206068.0
2019.05.07,30350.0,500.0,30200.0,30550.0,30150.0,144067.0
2019.05.03,30850.0,250.0,30800.0,31200.0,30600.0,151905.0
2019.05.02,30600.0,300.0,30300.0,31100.0,30050.0,201267.0
2019.04.30,30300.0,100.0,30000.0,30900.0,30000.0,206273.0
2019.04.29,30400.0,0.0,30850.0,31100.0,29550.0,294135.0
2019.04.26,30400.0,500.0,30600.0,31050.0,30350.0,185509.0
2019.04.25,30900.0,600.0,31600.0,31600.0,30850.0,145458.0
2019.04.24,31500.0,150.0,31550.0,31800.0,31300.0,150022.0
2019.04.23,31350.0,1100.0,31700.0,31800.0,31000.0,433231.0
2019.04.22,32450.0,300.0,32950.0,33250.0,31900.0,196682.0
2019.04.19,32750.0,500.0,32500.0,33350.0,32150.0,241642.0
2019.04.18,32250.0,1950.0,34400.0,34550.0,32000.0,565943.0
2019.04.17,34200.0,200.0,34250.0,34600.0,34050.0,243393.0
2019.04.16,34400.0,550.0,34100.0,34400.0,33500.0,353562.0
2019.04.15,33850.0,1100.0,33350.0,34100.0,32950.0,519048.0
2019.04.12,32750.0,600.0,32200.0,32950.0,32150.0,280495.0
2019.04.11,32150.0,100.0,32700.0,32750.0,32100.0,229376.0
2019.04.10,32250.0,950.0,31400.0,32250.0,30900.0,276945.0
2019.04.09,31300.0,400.0,30950.0,31500.0,30900.0,110619.0
2019.04.08,30900.0,300.0,31550.0,31700.0,30800.0,145208.0
2019.04.05,31200.0,450.0,31650.0,31900.0,31050.0,197466.0
2019.04.04,31650.0,850.0,30800.0,32400.0,30550.0,481894.0
2019.04.03,30800.0,250.0,30500.0,30800.0,30500.0,165645.0
2019.04.02,30550.0,50.0,30750.0,30800.0,30300.0,140381.0
2019.04.01,30600.0,200.0,30550.0,30700.0,30350.0,126454.0
2019.03.29,30400.0,900.0,29600.0,30400.0,29100.0,190204.0
2019.03.28,29500.0,750.0,30150.0,30200.0,29300.0,290251.0
2019.03.27,30250.0,750.0,30950.0,31000.0,30100.0,224737.0
2019.03.26,31000.0,350.0,30950.0,31150.0,30450.0,163708.0
2019.03.25,30650.0,600.0,30550.0,30900.0,30500.0,231878.0
2019.03.22,31250.0,50.0,31550.0,31800.0,31050.0,245677.0
2019.03.21,31300.0,100.0,31500.0,31850.0,31150.0,384467.0
2019.03.20,31400.0,1700.0,32950.0,33000.0,31150.0,842678.0
2019.03.19,33100.0,100.0,33250.0,33550.0,33050.0,151513.0
2019.03.18,33200.0,200.0,33600.0,33850.0,33000.0,198496.0
2019.03.15,33400.0,1100.0,34500.0,34900.0,33400.0,358786.0
2019.03.14,34500.0,350.0,35050.0,35300.0,34500.0,264018.0
2019.03.13,34850.0,850.0,34050.0,35100.0,33900.0,292541.0
2019.03.12,34000.0,200.0,34200.0,34500.0,33900.0,220130.0
2019.03.11,33800.0,50.0,33950.0,34450.0,33600.0,201305.0
2019.03.08,33850.0,900.0,32700.0,34000.0,32650.0,245983.0
2019.03.07,32950.0,400.0,33100.0,33750.0,32750.0,236487.0
2019.03.06,33350.0,150.0,33200.0,33800.0,32850.0,223497.0
2019.03.05,33200.0,1800.0,34700.0,34900.0,32700.0,688467.0
2019.03.04,35000.0,500.0,34800.0,35250.0,34500.0,255643.0
2019.02.28,34500.0,1000.0,35750.0,35750.0,34500.0,315982.0
2019.02.27,35500.0,600.0,36000.0,36050.0,35350.0,281663.0
2019.02.26,36100.0,850.0,37100.0,37150.0,36100.0,280716.0
2019.02.25,36950.0,1050.0,36300.0,36950.0,36000.0,460501.0
2019.02.22,35900.0,500.0,35550.0,36150.0,35400.0,247814.0
2019.02.21,35400.0,350.0,36300.0,36300.0,34900.0,493013.0
2019.02.20,35750.0,200.0,36250.0,36700.0,35600.0,480823.0
2019.02.19,35950.0,850.0,35300.0,36300.0,33750.0,1959154.0
2019.02.18,36800.0,100.0,37300.0,37900.0,36750.0,472660.0
2019.02.15,36900.0,950.0,38000.0,38000.0,36500.0,418340.0
2019.02.14,37850.0,750.0,37250.0,37950.0,36850.0,428723.0
2019.02.13,37100.0,0.0,37500.0,37650.0,36600.0,355846.0
2019.02.12,37100.0,600.0,36500.0,37800.0,36500.0,638348.0
2019.02.11,36500.0,400.0,36100.0,36650.0,35650.0,298962.0
2019.02.08,36100.0,1000.0,36800.0,37350.0,36050.0,593658.0
2019.02.07,37100.0,2750.0,34700.0,37200.0,34600.0,857707.0
2019.02.01,34350.0,150.0,34700.0,35100.0,34150.0,260057.0
2019.01.31,34500.0,750.0,35650.0,36100.0,34500.0,431516.0
2019.01.30,35250.0,800.0,36300.0,36350.0,35150.0,466652.0
