date,end_price,price_change,start_price,high,low,quantity
2019.12.04,4395.0,30.0,4400.0,4445.0,4310.0,117472.0
2019.12.03,4425.0,40.0,4350.0,4460.0,4330.0,180228.0
2019.12.02,4385.0,125.0,4265.0,4385.0,4205.0,127944.0
2019.11.29,4260.0,35.0,4250.0,4355.0,4220.0,71611.0
2019.11.28,4295.0,25.0,4285.0,4360.0,4200.0,70357.0
2019.11.27,4270.0,40.0,4290.0,4380.0,4260.0,49955.0
2019.11.26,4310.0,50.0,4310.0,4365.0,4250.0,87467.0
2019.11.25,4260.0,100.0,4125.0,4270.0,4125.0,92689.0
2019.11.22,4160.0,70.0,4090.0,4220.0,4090.0,81177.0
2019.11.21,4090.0,150.0,4190.0,4220.0,4085.0,104952.0
2019.11.20,4240.0,20.0,4270.0,4430.0,4230.0,390469.0
2019.11.19,4260.0,0.0,4235.0,4360.0,4195.0,150554.0
2019.11.18,4260.0,50.0,4190.0,4295.0,4145.0,213307.0
2019.11.15,4210.0,160.0,4040.0,4225.0,3990.0,252235.0
2019.11.14,4050.0,80.0,3985.0,4050.0,3965.0,112284.0
2019.11.13,3970.0,30.0,3970.0,4000.0,3940.0,162671.0
2019.11.12,4000.0,85.0,4075.0,4075.0,3945.0,295039.0
2019.11.11,4085.0,20.0,4670.0,4670.0,4085.0,1948058.0
2019.11.08,4065.0,60.0,4015.0,4085.0,4000.0,202829.0
2019.11.07,4005.0,15.0,3950.0,4065.0,3950.0,102928.0
2019.11.06,3990.0,0.0,4000.0,4050.0,3950.0,38255.0
2019.11.05,3990.0,0.0,4010.0,4020.0,3960.0,41204.0
2019.11.04,3990.0,25.0,3965.0,4085.0,3965.0,64658.0
2019.11.01,3965.0,15.0,3980.0,4030.0,3910.0,71153.0
2019.10.31,3980.0,90.0,4030.0,4110.0,3960.0,113061.0
2019.10.30,4070.0,295.0,3770.0,4095.0,3770.0,434603.0
2019.10.29,3775.0,15.0,3765.0,3840.0,3750.0,52386.0
2019.10.28,3760.0,10.0,3750.0,3790.0,3705.0,64690.0
2019.10.25,3750.0,25.0,3755.0,3845.0,3725.0,67216.0
2019.10.24,3775.0,10.0,3790.0,3800.0,3710.0,53222.0
2019.10.23,3785.0,85.0,3880.0,3905.0,3760.0,109865.0
2019.10.22,3870.0,145.0,4190.0,4270.0,3860.0,325252.0
2019.10.21,4015.0,55.0,4020.0,4020.0,3895.0,141075.0
2019.10.18,3960.0,15.0,3985.0,4060.0,3950.0,103955.0
2019.10.17,3945.0,65.0,3885.0,3990.0,3885.0,66134.0
2019.10.16,3880.0,5.0,3890.0,3910.0,3850.0,47935.0
2019.10.15,3885.0,45.0,3925.0,3925.0,3805.0,50207.0
2019.10.14,3930.0,0.0,3950.0,3990.0,3900.0,72093.0
2019.10.11,3930.0,20.0,3920.0,4020.0,3885.0,46095.0
2019.10.10,3910.0,175.0,3730.0,4025.0,3730.0,176317.0
2019.10.08,3735.0,35.0,3770.0,3770.0,3690.0,50270.0
2019.10.07,3770.0,195.0,3960.0,3970.0,3730.0,134844.0
2019.10.04,3965.0,20.0,3995.0,4000.0,3920.0,34174.0
2019.10.02,3985.0,40.0,4000.0,4045.0,3980.0,33169.0
2019.10.01,4025.0,20.0,4005.0,4070.0,3990.0,44688.0
2019.09.30,4005.0,10.0,3970.0,4055.0,3935.0,49921.0
2019.09.27,4015.0,15.0,4010.0,4100.0,3910.0,50235.0
2019.09.26,4000.0,65.0,4055.0,4120.0,3980.0,62653.0
2019.09.25,4065.0,170.0,4160.0,4200.0,4035.0,206341.0
2019.09.24,4235.0,105.0,4135.0,4235.0,4090.0,185720.0
2019.09.23,4130.0,40.0,4085.0,4310.0,4030.0,153753.0
2019.09.20,4090.0,110.0,4005.0,4160.0,3960.0,287626.0
2019.09.19,3980.0,100.0,4130.0,4130.0,3900.0,157720.0
2019.09.18,4080.0,220.0,3850.0,4145.0,3850.0,368892.0
2019.09.17,3860.0,20.0,3820.0,3880.0,3760.0,70605.0
2019.09.16,3880.0,125.0,3850.0,3985.0,3825.0,110021.0
2019.09.11,4005.0,205.0,3835.0,4080.0,3770.0,185903.0
2019.09.10,3800.0,85.0,3830.0,3930.0,3780.0,87935.0
2019.09.09,3885.0,45.0,3850.0,3930.0,3750.0,92519.0
2019.09.06,3840.0,50.0,3930.0,3930.0,3835.0,45913.0
2019.09.05,3890.0,65.0,3830.0,3940.0,3810.0,79726.0
2019.09.04,3825.0,35.0,3820.0,3850.0,3755.0,83682.0
2019.09.03,3790.0,5.0,3760.0,3825.0,3730.0,51869.0
2019.09.02,3795.0,15.0,3780.0,3810.0,3725.0,53091.0
2019.08.30,3780.0,100.0,3710.0,3825.0,3700.0,70030.0
2019.08.29,3680.0,20.0,3740.0,3760.0,3660.0,41554.0
2019.08.28,3700.0,80.0,3620.0,3795.0,3615.0,118464.0
2019.08.27,3620.0,65.0,3560.0,3640.0,3525.0,78429.0
2019.08.26,3555.0,155.0,3640.0,3645.0,3500.0,61960.0
2019.08.23,3710.0,20.0,3670.0,3745.0,3605.0,53699.0
2019.08.22,3690.0,5.0,3700.0,3750.0,3660.0,61220.0
2019.08.21,3685.0,45.0,3640.0,3700.0,3610.0,55873.0
2019.08.20,3640.0,155.0,3465.0,3655.0,3465.0,129170.0
2019.08.19,3485.0,50.0,3435.0,3500.0,3400.0,95928.0
2019.08.16,3435.0,205.0,3560.0,3575.0,3395.0,173584.0
2019.08.14,3640.0,60.0,3680.0,3740.0,3610.0,117085.0
2019.08.13,3580.0,0.0,3540.0,3610.0,3485.0,76833.0
2019.08.12,3580.0,5.0,3520.0,3600.0,3480.0,41480.0
2019.08.09,3575.0,125.0,3450.0,3640.0,3450.0,137171.0
2019.08.08,3450.0,95.0,3410.0,3500.0,3365.0,119475.0
2019.08.07,3355.0,40.0,3250.0,3440.0,3240.0,215029.0
2019.08.06,3315.0,270.0,3410.0,3575.0,3310.0,330164.0
2019.08.05,3585.0,340.0,3960.0,3970.0,3570.0,186605.0
2019.08.02,3925.0,70.0,3850.0,3925.0,3775.0,83757.0
2019.08.01,3855.0,65.0,3925.0,4010.0,3840.0,57551.0
2019.07.31,3920.0,5.0,3885.0,4000.0,3820.0,117378.0
2019.07.30,3915.0,45.0,3775.0,3965.0,3775.0,131102.0
2019.07.29,3870.0,370.0,4170.0,4210.0,3870.0,328719.0
2019.07.26,4240.0,10.0,4230.0,4290.0,4160.0,49029.0
2019.07.25,4250.0,100.0,4275.0,4360.0,4155.0,115876.0
2019.07.24,4350.0,5.0,4380.0,4490.0,4330.0,90455.0
2019.07.23,4355.0,60.0,4370.0,4445.0,4310.0,63194.0
2019.07.22,4415.0,130.0,4450.0,4480.0,4370.0,105308.0
2019.07.19,4545.0,150.0,4410.0,4620.0,4400.0,244840.0
2019.07.18,4395.0,35.0,4380.0,4450.0,4300.0,78063.0
2019.07.17,4360.0,65.0,4370.0,4425.0,4295.0,89061.0
2019.07.16,4425.0,20.0,4405.0,4550.0,4390.0,68733.0
2019.07.15,4445.0,55.0,4400.0,4550.0,4355.0,188043.0
2019.07.12,4390.0,5.0,4445.0,4445.0,4310.0,120307.0
2019.07.11,4395.0,155.0,4230.0,4395.0,4230.0,154527.0
2019.07.10,4240.0,140.0,4120.0,4255.0,4120.0,151962.0
2019.07.09,4100.0,105.0,4200.0,4230.0,4020.0,430422.0
2019.07.08,4205.0,280.0,4490.0,4520.0,4170.0,399374.0
2019.07.05,4485.0,100.0,4600.0,4850.0,4405.0,822601.0
2019.07.04,4385.0,45.0,4405.0,4485.0,4355.0,144281.0
2019.07.03,4430.0,115.0,4520.0,4580.0,4410.0,222205.0
2019.07.02,4545.0,30.0,4470.0,4620.0,4470.0,246907.0
2019.07.01,4515.0,370.0,4885.0,4900.0,4490.0,579734.0
2019.06.28,4885.0,135.0,4760.0,4885.0,4710.0,186293.0
2019.06.27,4750.0,340.0,5050.0,5090.0,4705.0,538707.0
2019.06.26,5090.0,50.0,4990.0,5120.0,4990.0,146006.0
2019.06.25,5040.0,30.0,5070.0,5130.0,4965.0,220397.0
2019.06.24,5070.0,380.0,5390.0,5420.0,5050.0,558676.0
2019.06.21,5450.0,150.0,5560.0,5620.0,5360.0,209499.0
2019.06.20,5600.0,50.0,5600.0,5630.0,5490.0,121007.0
2019.06.19,5550.0,80.0,5620.0,5710.0,5430.0,300450.0
2019.06.18,5630.0,230.0,5910.0,5930.0,5450.0,613970.0
2019.06.17,5860.0,470.0,6400.0,6410.0,5800.0,744158.0
2019.06.14,6330.0,130.0,6520.0,6520.0,6220.0,409598.0
2019.06.13,6460.0,170.0,6630.0,6700.0,6370.0,338106.0
2019.06.12,6630.0,20.0,6600.0,6730.0,6370.0,295102.0
2019.06.11,6610.0,150.0,6570.0,6660.0,6250.0,861692.0
2019.06.10,6460.0,540.0,5910.0,6480.0,5870.0,1060983.0
2019.06.07,5920.0,280.0,5700.0,5940.0,5640.0,425053.0
2019.06.05,5640.0,110.0,5590.0,5700.0,5450.0,191664.0
2019.06.04,5530.0,30.0,5550.0,5550.0,5390.0,108618.0
2019.06.03,5500.0,300.0,5180.0,5530.0,5180.0,212976.0
2019.05.31,5200.0,120.0,5380.0,5380.0,5150.0,121024.0
2019.05.30,5320.0,70.0,5390.0,5430.0,5270.0,86340.0
2019.05.29,5390.0,90.0,5470.0,5470.0,5260.0,107634.0
2019.05.28,5480.0,10.0,5450.0,5550.0,5340.0,107913.0
2019.05.27,5470.0,440.0,4990.0,5480.0,4975.0,403637.0
2019.05.24,5030.0,65.0,4895.0,5380.0,4895.0,274384.0
2019.05.23,4965.0,15.0,5010.0,5090.0,4950.0,82453.0
2019.05.22,4980.0,0.0,5000.0,5080.0,4965.0,137762.0
2019.05.21,4980.0,250.0,5320.0,5320.0,4980.0,258206.0
2019.05.20,5230.0,50.0,5230.0,5320.0,5180.0,91972.0
2019.05.17,5280.0,150.0,5430.0,5510.0,5280.0,88732.0
2019.05.16,5430.0,180.0,5250.0,5490.0,5230.0,163790.0
2019.05.15,5250.0,150.0,5100.0,5310.0,5100.0,81104.0
2019.05.14,5100.0,0.0,5090.0,5200.0,4985.0,115546.0
2019.05.13,5100.0,120.0,5210.0,5320.0,5070.0,86015.0
2019.05.10,5220.0,0.0,5210.0,5280.0,5100.0,166300.0
2019.05.09,5220.0,410.0,5600.0,5660.0,5060.0,605426.0
2019.05.08,5630.0,70.0,5610.0,5760.0,5610.0,111777.0
2019.05.07,5700.0,130.0,5700.0,5770.0,5600.0,201218.0
2019.05.03,5830.0,110.0,5920.0,6100.0,5830.0,246392.0
2019.05.02,5940.0,0.0,5920.0,5980.0,5850.0,109753.0
2019.04.30,5940.0,80.0,5900.0,6060.0,5810.0,131697.0
2019.04.29,5860.0,220.0,5730.0,5920.0,5700.0,98869.0
2019.04.26,5640.0,250.0,5840.0,5970.0,5640.0,264421.0
2019.04.25,5890.0,310.0,6200.0,6210.0,5840.0,408062.0
2019.04.24,6200.0,310.0,6570.0,6620.0,6200.0,388669.0
2019.04.23,6510.0,170.0,6280.0,6550.0,6150.0,468197.0
2019.04.22,6340.0,290.0,6070.0,6340.0,6030.0,438043.0
2019.04.19,6050.0,240.0,6290.0,6290.0,5970.0,563957.0
2019.04.18,6290.0,180.0,6500.0,6740.0,6210.0,670847.0
2019.04.17,6470.0,60.0,6440.0,6750.0,6360.0,1176909.0
2019.04.16,6410.0,480.0,5930.0,6520.0,5770.0,1422956.0
2019.04.15,5930.0,230.0,5700.0,5950.0,5660.0,318131.0
2019.04.12,5700.0,50.0,5670.0,5860.0,5600.0,283969.0
2019.04.11,5650.0,10.0,5780.0,5780.0,5510.0,298629.0
2019.04.10,5660.0,0.0,5660.0,5760.0,5570.0,156146.0
2019.04.09,5660.0,240.0,5970.0,5970.0,5620.0,468611.0
2019.04.08,5900.0,90.0,5940.0,6050.0,5810.0,240679.0
2019.04.05,5990.0,150.0,6140.0,6140.0,5910.0,203651.0
2019.04.04,6140.0,170.0,5960.0,6140.0,5850.0,292748.0
2019.04.03,5970.0,80.0,5880.0,6080.0,5750.0,282290.0
2019.04.02,5890.0,240.0,6150.0,6190.0,5690.0,659432.0
2019.04.01,6130.0,120.0,6250.0,6320.0,6110.0,363018.0
2019.03.29,6250.0,250.0,6060.0,6630.0,6030.0,1458337.0
2019.03.28,6000.0,270.0,6200.0,6440.0,5900.0,711975.0
2019.03.27,6270.0,70.0,6300.0,6400.0,6170.0,533677.0
2019.03.26,6340.0,460.0,5930.0,6430.0,5930.0,1982366.0
2019.03.25,5880.0,180.0,5910.0,6080.0,5700.0,609145.0
2019.03.22,6060.0,50.0,5970.0,6080.0,5780.0,713419.0
2019.03.21,6010.0,730.0,5310.0,6030.0,5310.0,1886516.0
2019.03.20,5280.0,210.0,5470.0,5600.0,5200.0,365276.0
2019.03.19,5490.0,70.0,5670.0,5780.0,5410.0,255994.0
2019.03.18,5560.0,30.0,5460.0,5630.0,5430.0,175826.0
2019.03.15,5530.0,270.0,5840.0,5840.0,5370.0,467409.0
2019.03.14,5800.0,70.0,5840.0,5930.0,5710.0,243957.0
2019.03.13,5870.0,100.0,5850.0,5950.0,5700.0,827534.0
2019.03.12,5770.0,140.0,5630.0,5870.0,5570.0,870688.0
2019.03.11,5630.0,360.0,5180.0,5630.0,5060.0,763433.0
2019.03.08,5270.0,280.0,5480.0,5510.0,5230.0,529178.0
2019.03.07,5550.0,230.0,5340.0,5830.0,5250.0,2103588.0
2019.03.06,5320.0,400.0,4950.0,5430.0,4925.0,969057.0
2019.03.05,4920.0,70.0,4990.0,5000.0,4900.0,85922.0
2019.03.04,4990.0,90.0,4830.0,5060.0,4830.0,149335.0
